site_va	kind	status	label	legacy_label	target_va	legacy_target_va	span_end
0x100da095	memcpy	SAME	冰咆哮主属性切换	冰咆哮主属性切换	0x76f2cb	0x76f2cb	0x76f2d9
0x100da231	tramp1	NEW	冰咆哮范围		0x76f300	-	0x76f309
0x100da2f3	memcpy	SAME	冰咆哮范围	冰咆哮范围	0x76f300	0x76f300	0x76f309
0x100da362	tramp1	NEW	火雨主属切换		0x76f365	-	0x76f373
0x100da43a	memcpy	SAME	火雨主属切换	火雨主属切换	0x76f365	0x76f365	0x76f373
0x100da50d	tramp1	NEW	嗜血术倍数		0x76fc2b	-	0x76fc31
0x100da5c9	memcpy	SAME	嗜血术倍数	嗜血术倍数	0x76fc2b	0x76fc2b	0x76fc31
0x100da719	memcpy	SAME	免毒符	免毒符	0x6ed945	0x6ed945	0x6ed949
0x100da756	memcpy	SAME	免毒符	免毒符	0x6ed9d1	0x6ed9d1	0x6ed9d7
0x100da793	memcpy	SAME	免毒符	免毒符	0x6ed9eb	0x6ed9eb	0x6ed9f5
0x100da7d0	memcpy	SAME	免毒符	免毒符	0x6eda85	0x6eda85	0x6eda87
0x100da80d	memcpy	SAME	免毒符	免毒符	0x6edab1	0x6edab1	0x6edab3
0x100da84a	memcpy	SAME	免毒符	免毒符	0x6edadf	0x6edadf	0x6edae1
0x100da884	memcpy	SAME	免毒符	免毒符	0x6edb11	0x6edb11	0x6edb17
0x100da8c1	memcpy	SAME	免毒符	免毒符	0x6edb3e	0x6edb3e	0x6edb40
0x100da8fe	memcpy	SAME	免毒符	免毒符	0x6edb65	0x6edb65	0x6edb67
0x100da93b	memcpy	SAME	免毒符	免毒符	0x6edb8c	0x6edb8c	0x6edb8e
0x100da975	memcpy	SAME	免毒符	免毒符	0x6edc58	0x6edc58	0x6edc5a
0x100da9af	memcpy	SAME	免毒符	免毒符	0x6ede1d	0x6ede1d	0x6ede1f
0x100dab1e	memcpy	SAME	免毒符	免毒符	0x6ed945	0x6ed945	0x6ed949
0x100dab55	memcpy	SAME	免毒符	免毒符	0x6ed9d1	0x6ed9d1	0x6ed9d7
0x100dab92	memcpy	SAME	免毒符	免毒符	0x6ed9eb	0x6ed9eb	0x6ed9f5
0x100dabcc	memcpy	SAME	免毒符	免毒符	0x6eda85	0x6eda85	0x6eda87
0x100dac06	memcpy	SAME	免毒符	免毒符	0x6edab1	0x6edab1	0x6edab3
0x100dac40	memcpy	SAME	免毒符	免毒符	0x6edadf	0x6edadf	0x6edae1
0x100dac77	memcpy	SAME	免毒符	免毒符	0x6edb11	0x6edb11	0x6edb17
0x100dacb1	memcpy	SAME	免毒符	免毒符	0x6edb3e	0x6edb3e	0x6edb40
0x100daceb	memcpy	SAME	免毒符	免毒符	0x6edb65	0x6edb65	0x6edb67
0x100dad28	memcpy	SAME	免毒符	免毒符	0x6edb8c	0x6edb8c	0x6edb8e
